scenario_id,feeder,solver,termination_condition,objective_value,violating_buses_before,violating_buses_after,total_violation_before_pu,total_violation_after_pu,min_voltage_before_pu,min_voltage_after_pu,max_abs_q_control_pu,total_abs_q_control_pu
0,radial_15,appsi_highs,optimal,1314.4446020871937,14,14,2.6068907653080524,1.3040507653080518,0.6920655141521918,0.8199583516407554,0.18,0.72
1,radial_15,appsi_highs,optimal,616.2874967867166,14,14,1.912208833017453,0.6093688330174517,0.7558071608211897,0.881418505651771,0.18,0.72
2,radial_15,appsi_highs,optimal,792.2233441588314,14,14,2.0872713174120707,0.7844313174120724,0.7353739633645802,0.8622380369359265,0.18,0.72
3,radial_15,appsi_highs,optimal,119.98457200985398,14,10,1.3959949470714217,0.11565026071087925,0.7989928262646401,0.923972247476988,0.18,0.72
4,radial_15,appsi_highs,optimal,887.9065220726286,14,14,2.1824766614754276,0.8796366614754287,0.7296661768951057,0.8572351065092593,0.18,0.72
5,radial_15,appsi_highs,optimal,977.5738612951943,14,14,2.2716956970234365,0.9688556970234357,0.7154786569802821,0.8434748034787398,0.18,0.72
6,radial_15,appsi_highs,optimal,1271.6482401001667,14,14,2.5643131592032,1.2614731592032005,0.6944928566457709,0.8227408512380027,0.18,0.72
7,radial_15,appsi_highs,optimal,1259.8918848842034,14,14,2.5526145908529756,1.2497745908529763,0.6979834609873956,0.8263472201070426,0.18,0.72
8,radial_15,appsi_highs,optimal,1313.0256736037172,14,14,2.6054841316141886,1.3026441316141892,0.6897091114636533,0.8185891114636532,0.18,0.72
9,radial_15,appsi_highs,optimal,911.1291197670045,14,14,2.2055857810066803,0.9027457810066792,0.7331581120639904,0.8599108576423562,0.18,0.72
10,radial_15,appsi_highs,optimal,624.5966746222665,14,14,1.9204815156372246,0.6176415156372242,0.7521179118325781,0.87812472404992,0.18,0.72
11,radial_15,appsi_highs,optimal,2075.7787196761083,14,14,3.3644366820582055,2.061596682058206,0.6114848888879963,0.7403648888879962,0.18,0.72
12,radial_15,appsi_highs,optimal,839.3773066119699,14,14,2.1341922734511765,0.8313522734511765,0.72717899251736,0.8553182136200076,0.18,0.72
13,radial_15,appsi_highs,optimal,1188.0793062192909,14,14,2.4811590936686967,1.1783190936686982,0.6949107324346873,0.8237907324346871,0.18,0.72
14,radial_15,appsi_highs,optimal,557.0120379202983,14,14,1.8532321990909586,0.5503921990909572,0.7546070449434368,0.8813808358137016,0.18,0.72
15,radial_15,appsi_highs,optimal,969.1107059021532,14,14,2.263277804880499,0.9604378048804988,0.7137699471143657,0.8426499471143658,0.18,0.72
16,radial_15,appsi_highs,optimal,1127.3845965466692,14,14,2.4207600200344466,1.1179200200344472,0.7043982397648814,0.832909605332349,0.18,0.72
17,radial_15,appsi_highs,optimal,228.09469727113625,14,13,1.5143726640048096,0.22316974542425716,0.7914061304962897,0.9157652582401841,0.18,0.72
18,radial_15,appsi_highs,optimal,1550.67927928326,14,14,2.841950295511409,1.5391102955114095,0.6656291165632037,0.7945091165632037,0.18,0.72
19,radial_15,appsi_highs,optimal,826.9337701434177,14,14,2.1218085177764836,0.8189685177764834,0.7316505602003188,0.8583921329125319,0.18,0.72
20,radial_15,appsi_highs,optimal,1016.8917001252453,14,14,2.3108183262979343,1.007978326297935,0.7187760628767488,0.8461167000088042,0.18,0.72
21,radial_15,appsi_highs,optimal,983.4039021032522,14,14,2.2775014291250133,0.9746614291250147,0.7196978636708979,0.8472602085199009,0.18,0.72
22,radial_15,appsi_highs,optimal,1241.1149224947735,14,14,2.5339266774814577,1.2310866774814575,0.6978262840316114,0.8258271695873105,0.18,0.72
23,radial_15,appsi_highs,optimal,1982.5841824328909,14,14,3.2717073909829315,1.9688673909829322,0.6183879140554325,0.7472679140554324,0.18,0.72
24,radial_15,appsi_highs,optimal,1172.7754630692395,14,14,2.4659259897374137,1.163085989737414,0.707274230187606,0.8356058732012464,0.18,0.72
25,radial_15,appsi_highs,optimal,181.67676596566307,14,12,1.4648808446665118,0.1769997795517224,0.7908190210687968,0.9158023168285128,0.18,0.72
26,radial_15,appsi_highs,optimal,2014.5573401821398,14,14,3.303518684664443,2.000678684664443,0.6341272103014021,0.7630072103014021,0.18,0.72
27,radial_15,appsi_highs,optimal,585.7407406518815,14,14,1.8818136833833874,0.5789736833833865,0.7574637299741567,0.8838727347320168,0.18,0.72
28,radial_15,appsi_highs,optimal,1642.690827154434,14,14,2.9335041922936638,1.6306641922936653,0.6550729201745413,0.7839529201745412,0.18,0.72
29,radial_15,appsi_highs,optimal,925.5707116156483,14,14,2.2199563843863297,0.9171163843863299,0.727076963398571,0.8537348895915853,0.18,0.72
30,radial_15,appsi_highs,optimal,1144.7935852768874,14,14,2.4380846834856933,1.1352446834856917,0.7066421278899224,0.8347577493140567,0.18,0.72
31,radial_15,appsi_highs,optimal,428.3521354430453,14,13,1.720341042005864,0.42239646759826355,0.7758367680020812,0.9001285001483923,0.18,0.72
32,radial_15,appsi_highs,optimal,1297.4434393982042,14,14,2.589974229859879,1.2871342298598814,0.6845276581567691,0.813407658156769,0.18,0.72
33,radial_15,appsi_highs,optimal,872.4616315424348,14,14,2.1671131120126104,0.8642731120126107,0.7276350695567011,0.8554545554267917,0.18,0.72
34,radial_15,appsi_highs,optimal,1489.0767019780608,14,14,2.780655104576285,1.4778151045762855,0.6688045120227638,0.7976845120227638,0.18,0.72
35,radial_15,appsi_highs,optimal,936.4443952702908,14,14,2.2307748049820963,0.9279348049820982,0.7213684409017899,0.8491527510338696,0.18,0.72
36,radial_15,appsi_highs,optimal,1089.0479812508802,14,14,2.3826199175998326,1.079779917599834,0.7197612164806512,0.8465251928654622,0.18,0.72
37,radial_15,appsi_highs,optimal,1858.837856546402,14,14,3.148576760018157,1.845736760018157,0.6347251963959227,0.7636051963959226,0.18,0.72
38,radial_15,appsi_highs,optimal,2031.2253027246077,14,14,3.3201049410955505,2.0172649410955517,0.6238838804162342,0.7527638804162341,0.18,0.72
39,radial_15,appsi_highs,optimal,774.9450887972217,14,14,2.0700751070333245,0.7672351070333238,0.7438989329217155,0.8687273556622915,0.18,0.72
40,radial_15,appsi_highs,optimal,1166.9361415804833,14,14,2.4601149919399985,1.1572749919399992,0.7009336724212638,0.8288063083127607,0.18,0.72
41,radial_15,appsi_highs,optimal,318.7037404645367,14,13,1.6072672924832734,0.3133119166752055,0.7820573910198532,0.9071022753756323,0.18,0.72
42,radial_15,appsi_highs,optimal,1577.550588198254,14,14,2.868689450140023,1.5658494501400217,0.6593946708082263,0.7882746708082264,0.18,0.72
43,radial_15,appsi_highs,optimal,1919.1391833370585,14,14,3.2085768185718777,1.9057368185718775,0.6285179044688738,0.7573979044688738,0.18,0.72
44,radial_15,appsi_highs,optimal,1078.3186580408083,14,14,2.3719422806876582,1.0691022806876584,0.7120899583303171,0.840341525133484,0.18,0.72
45,radial_15,appsi_highs,optimal,1000.292164331595,14,14,2.2943039363635265,0.9914639363635286,0.7251044713795521,0.8515074557530264,0.18,0.72
46,radial_15,appsi_highs,optimal,820.5595200047953,14,14,2.115463782184699,0.8126237821846982,0.7402863537857153,0.8653233281641877,0.18,0.72
47,radial_15,appsi_highs,optimal,920.21976010967,14,14,2.214627851602722,0.9117878516027224,0.7198611341489564,0.8475204227063624,0.18,0.72
48,radial_15,appsi_highs,optimal,404.6640781770793,14,13,1.6954526136783974,0.3988310603851365,0.7690568428004002,0.8949311189586023,0.18,0.72
49,radial_15,appsi_highs,optimal,1802.8729871979406,14,14,3.0928914607545277,1.790051460754527,0.6420662544669321,0.7709462544669322,0.18,0.72
50,radial_15,appsi_highs,optimal,883.2263727289474,14,14,2.1778171820407213,0.8749771820407208,0.7272528244311719,0.8545165155698199,0.18,0.72
51,radial_15,appsi_highs,optimal,850.8576926188106,14,14,2.1456172409311334,0.8427772409311317,0.7323805191718847,0.8585005836448203,0.18,0.72
52,radial_15,appsi_highs,optimal,1023.8672751958634,14,14,2.3177624091739846,1.0149224091739844,0.7237171307770839,0.8502832435058442,0.18,0.72
53,radial_15,appsi_highs,optimal,2011.6360543673247,14,14,3.3006136573003553,1.997773657300356,0.6282573025441469,0.7571373025441468,0.18,0.72
54,radial_15,appsi_highs,optimal,1459.0044062051209,14,14,2.7507353622841992,1.4478953622841981,0.6778066408026303,0.8066866408026304,0.18,0.72
55,radial_15,appsi_highs,optimal,498.6230590033924,14,13,1.7933085949626273,0.4922999265740996,0.767046770271543,0.8919772359146364,0.18,0.72
56,radial_15,appsi_highs,optimal,1360.610824216442,14,14,2.6528283086911992,1.3499883086911988,0.6925436064423649,0.819571746044557,0.18,0.72
57,radial_15,appsi_highs,optimal,1051.335995874597,14,14,2.345089854630112,1.0422498546301124,0.7067892411066031,0.8354856139102385,0.18,0.72
