scenario_id,feeder,solver,termination_condition,objective_value,violating_buses_before,violating_buses_after,total_violation_before_pu,total_violation_after_pu,min_voltage_before_pu,min_voltage_after_pu,max_abs_q_control_pu,total_abs_q_control_pu
0,radial_9_unseen,appsi_highs,optimal,574.1285964590809,8,8,1.013694689879443,0.5690946898794431,0.7718651405909442,0.8579051405909442,0.18,0.36
1,radial_9_unseen,appsi_highs,optimal,720.1957539251976,8,8,1.159037063846601,0.7144370638466013,0.7469584652898215,0.8329984652898215,0.18,0.36
2,radial_9_unseen,appsi_highs,optimal,597.3225653509758,8,8,1.0367728206810587,0.5921728206810589,0.7671340062822978,0.8531740062822977,0.18,0.36
3,radial_9_unseen,appsi_highs,optimal,944.900193609128,8,8,1.3826212786139334,0.9380212786139333,0.7110794352837542,0.7964376096186565,0.18,0.36
4,radial_9_unseen,appsi_highs,optimal,710.7409970043052,8,8,1.149628834750155,0.7050288347501552,0.7489422479065582,0.8349822479065582,0.18,0.36
5,radial_9_unseen,appsi_highs,optimal,100.01970866855581,8,7,0.530384251968312,0.0974052475347027,0.8467273619619198,0.9317363447793224,0.18,0.36
6,radial_9_unseen,appsi_highs,optimal,605.4805445783793,8,8,1.044890765442361,0.6002907654423609,0.7690403480584259,0.853650574968713,0.18,0.36
7,radial_9_unseen,appsi_highs,optimal,314.2385947826489,8,8,0.7551004880919161,0.31050048809191555,0.8138947440935452,0.8999347440935453,0.18,0.36
8,radial_9_unseen,appsi_highs,optimal,533.2834290188737,8,8,0.9730530694692586,0.5284530694692586,0.7779430851036924,0.8639830851036924,0.18,0.36
9,radial_9_unseen,appsi_highs,optimal,391.57949682125206,8,8,0.8320572743613298,0.3874572743613298,0.8011029556882825,0.8857029556882825,0.18,0.36
10,radial_9_unseen,appsi_highs,optimal,856.0892626493943,8,8,1.2942513860146636,0.8496513860146646,0.7272817410607249,0.8118817410607247,0.18,0.36
11,radial_9_unseen,appsi_highs,optimal,305.664092228878,8,8,0.7465674417670387,0.30196744176703816,0.8133344790261411,0.8993744790261412,0.18,0.36
12,radial_9_unseen,appsi_highs,optimal,700.2562897915058,8,8,1.1391953505056986,0.6945953505056978,0.7520476216028785,0.8366476216028786,0.18,0.36
13,radial_9_unseen,appsi_highs,optimal,587.8976928164539,8,8,1.0273983911391813,0.5827983911391822,0.7660946489356331,0.8521346489356328,0.18,0.36
14,radial_9_unseen,appsi_highs,optimal,459.40008300323143,8,8,0.8995384673079476,0.4549384673079476,0.7895410541734106,0.8755810541734106,0.18,0.36
15,radial_9_unseen,appsi_highs,optimal,925.0955599189319,8,8,1.3629147198944682,0.9183147198944682,0.713589280528923,0.799629280528923,0.18,0.36
16,radial_9_unseen,appsi_highs,optimal,609.9627835156051,8,8,1.0493492481309974,0.6047492481309973,0.7637551213025827,0.8497951213025827,0.18,0.36
17,radial_9_unseen,appsi_highs,optimal,386.9882737914087,8,8,0.827486542474972,0.382886542474972,0.7992198124370047,0.8852598124370047,0.18,0.36
18,radial_9_unseen,appsi_highs,optimal,777.6809282166015,8,8,1.2162330039432678,0.7716330039432678,0.741801423316392,0.8264014233163919,0.18,0.36
19,radial_9_unseen,appsi_highs,optimal,191.0935731988,8,7,0.6276946946005697,0.18799229663427997,0.8336271463046557,0.9178334086688981,0.18,0.36
20,radial_9_unseen,appsi_highs,optimal,309.64645345153355,8,8,0.7505296541551377,0.30592965415513773,0.8140924531826134,0.8986924531826134,0.18,0.36
21,radial_9_unseen,appsi_highs,optimal,575.1121234171414,8,8,1.014676072948325,0.5700760729483251,0.7694146875642371,0.8554546875642371,0.18,0.36
22,radial_9_unseen,appsi_highs,optimal,733.307579617826,8,8,1.1720838456230185,0.7274838456230186,0.7403230100141349,0.8263630100141349,0.18,0.36
23,radial_9_unseen,appsi_highs,optimal,892.9034025742494,8,8,1.330882364813973,0.8862823648139732,0.7186833727187824,0.8032833727187823,0.18,0.36
24,radial_9_unseen,appsi_highs,optimal,750.8068160119375,8,8,1.1894947576392658,0.7448947576392659,0.7426351042542823,0.8286751042542823,0.18,0.36
25,radial_9_unseen,appsi_highs,optimal,863.7600082174805,8,8,1.3018847885886928,0.8572847885886928,0.7241466552720854,0.8101866552720854,0.18,0.36
26,radial_9_unseen,appsi_highs,optimal,230.22575808380174,8,7,0.6694448235119524,0.22691619595913248,0.8249936113150496,0.9110336113150496,0.18,0.36
27,radial_9_unseen,appsi_highs,optimal,415.8648354715429,8,8,0.8562197729008565,0.4116197729008567,0.79730484414808,0.88334484414808,0.18,0.36
28,radial_9_unseen,appsi_highs,optimal,236.10284408887085,8,7,0.6755445647172389,0.2327634344014592,0.8247622598960144,0.9104659870220615,0.18,0.36
29,radial_9_unseen,appsi_highs,optimal,907.6078930989648,8,8,1.345513600678304,0.9009136006783041,0.7210402481756276,0.8056402481756276,0.18,0.36
30,radial_9_unseen,appsi_highs,optimal,529.0595656876719,8,8,0.9688518290187227,0.5242518290187229,0.7784509641466886,0.8644909641466886,0.18,0.36
31,radial_9_unseen,appsi_highs,optimal,689.3865638073231,8,8,1.1283805632946735,0.6837805632946736,0.7538065205970178,0.8390375413352695,0.18,0.36
32,radial_9_unseen,appsi_highs,optimal,729.681559252251,8,8,1.1684730345168888,0.7238730345168882,0.7438736543367512,0.8299136543367513,0.18,0.36
33,radial_9_unseen,appsi_highs,optimal,364.3755903767786,8,8,0.8049853427216273,0.36038534272162737,0.8076933876771292,0.8937333876771292,0.18,0.36
34,radial_9_unseen,appsi_highs,optimal,480.28593424484427,8,8,0.920321353151446,0.47572135315144637,0.7859208603306204,0.8718178285601518,0.18,0.36
35,radial_9_unseen,appsi_highs,optimal,622.373429459824,8,8,1.061700438555818,0.6171004385558179,0.7639904595711879,0.850030459571188,0.18,0.36
36,radial_9_unseen,appsi_highs,optimal,657.8442421503634,8,8,1.0969960382117234,0.6523960382117235,0.7603238247202446,0.8463638247202446,0.18,0.36
37,radial_9_unseen,appsi_highs,optimal,659.0171947075963,8,8,1.0981624618258525,0.6535624618258524,0.7577143490940917,0.8437543490940917,0.18,0.36
38,radial_9_unseen,appsi_highs,optimal,491.07285611134654,8,8,0.9310556595852245,0.48645565958522474,0.7876002557079351,0.8722002557079351,0.18,0.36
39,radial_9_unseen,appsi_highs,optimal,448.2837178312956,8,8,0.8884774528613083,0.4438774528613083,0.7895399720151238,0.8755799720151238,0.18,0.36
40,radial_9_unseen,appsi_highs,optimal,629.1479816003477,8,8,1.0684437378288862,0.6238437378288862,0.7629284422036966,0.8489684422036966,0.18,0.36
41,radial_9_unseen,appsi_highs,optimal,520.1401612811139,8,8,0.9599781343342537,0.5153781343342534,0.777333641009342,0.861933641009342,0.18,0.36
42,radial_9_unseen,appsi_highs,optimal,518.5560190199383,8,8,0.9584021405882073,0.5138021405882073,0.7809058607533168,0.8655058607533168,0.18,0.36
43,radial_9_unseen,appsi_highs,optimal,515.7060651819808,8,8,0.9555658111271522,0.5109658111271522,0.77978236935372,0.86438236935372,0.18,0.36
44,radial_9_unseen,appsi_highs,optimal,818.7139603348171,8,8,1.2570623075099991,0.8124623075099994,0.7308716517997508,0.8169116517997507,0.18,0.36
45,radial_9_unseen,appsi_highs,optimal,612.8221656877209,8,8,1.052198907825078,0.607598907825078,0.7662430513490502,0.8522830513490501,0.18,0.36
46,radial_9_unseen,appsi_highs,optimal,289.13558697201216,8,8,0.7301209439950264,0.28552094399502637,0.8185941923366482,0.9038966124832152,0.18,0.36
47,radial_9_unseen,appsi_highs,optimal,451.37905876772635,8,8,0.8915585500354446,0.4469585500354446,0.7902278761291988,0.8748278761291988,0.18,0.36
48,radial_9_unseen,appsi_highs,optimal,761.9941108656983,8,8,1.20062543159076,0.7560254315907603,0.7404975653189767,0.8265375653189767,0.18,0.36
49,radial_9_unseen,appsi_highs,optimal,1003.1766765052342,8,8,1.4406069275702968,0.9960069275702964,0.7012864791725402,0.7873264791725403,0.18,0.36
50,radial_9_unseen,appsi_highs,optimal,304.3301067482643,8,8,0.7452409949268057,0.30064099492680596,0.8102023066928176,0.8962423066928176,0.18,0.36
51,radial_9_unseen,appsi_highs,optimal,362.56894644478876,8,8,0.8031881018506258,0.3585881018506262,0.8057657417742364,0.8903657417742363,0.18,0.36
52,radial_9_unseen,appsi_highs,optimal,321.36593510764123,8,8,0.7621898919277962,0.3175898919277971,0.8156397414010719,0.9005849331614133,0.18,0.36
53,radial_9_unseen,appsi_highs,optimal,602.8141006268058,8,8,1.0422356231760044,0.5976356231760046,0.7705772979893627,0.8551772979893627,0.18,0.36
54,radial_9_unseen,appsi_highs,optimal,428.9440070054146,8,8,0.8692315518687208,0.42463155186872104,0.793315642844024,0.8779156428440239,0.18,0.36
55,radial_9_unseen,appsi_highs,optimal,701.5328909819776,8,8,1.1404654044555063,0.6958654044555064,0.7501445737791711,0.8361845737791711,0.18,0.36
56,radial_9_unseen,appsi_highs,optimal,811.6945381494728,8,8,1.250078634821326,0.8054786348213266,0.7298383689609672,0.8158783689609671,0.18,0.36
57,radial_9_unseen,appsi_highs,optimal,399.11424109170525,8,8,0.8395515515544413,0.39495155155444095,0.8006480063077466,0.8866880063077467,0.18,0.36
58,radial_9_unseen,appsi_highs,optimal,506.2428644780149,8,8,0.9461492277763794,0.5015492277763788,0.7810668278577847,0.8656668278577847,0.18,0.36
59,radial_9_unseen,appsi_highs,optimal,901.0004567955586,8,8,1.338939783511293,0.894339783511293,0.7206201786034462,0.8066601786034463,0.18,0.36
60,radial_9_unseen,appsi_highs,optimal,701.4573770020938,8,8,1.1403902535157227,0.695790253515722,0.7550883308214423,0.8402959852363329,0.18,0.36
61,radial_9_unseen,appsi_highs,optimal,656.7254622776651,8,8,1.0958822474862062,0.6512822474862061,0.7597347877953928,0.8457747877953928,0.18,0.36
